SYNPCC7942_2049-MONOMER	SYNPCC7942_2049	Q31LJ0	PsaA	Photosystem I P700 chlorophyll a apoprotein A1
MONOMER-16059	G-12364	O33996	adenylylsulfate reductase &beta; subunit	AprB
MONOMER-13012	G-9913	Q3IED5		AspC
MONOMER-13531	G-10301	Q9FPM5	acyl-[acyl-carrier-protein] hydrolase	FatA
YHR051W-MONOMER	YHR051W	P00427	cytochrome c oxidase subunit VI	
HS05318-MONOMER	HS05318	Q9BU89	deoxyhypusine hydroxylase	
MONOMER-18739	G-27211	A0A3Q7IS73	2-oxo-4-methylthiobutanoate-glutamine aminotransferase monomer	
MONOMER-16505	G-12769	P43317	cellulase EG V	Cel45a, endo-1,4-&beta;-glucanase V, endoglucanase V
ARTM-MONOMER	EG11627	P0AE30	L-arginine ABC transporter membrane subunit ArtM	
EG12310-MONOMER	EG12310	P37095	aminopeptidase B	YfhI, PepB
MONOMER-21172	G-80688	A1JQP9	phosphoglucomutase	Pgm
SYNPCC7942_0475-MONOMER	SYNPCC7942_0475	Q31R12	cytochrome b6-f complex subunit 8	PetN, cytochrome b6-f complex subunit VIII, Cytochrome b6-f complex subunit petN
MONOMER-19127	G-43860	P39640	dihydroanticapsin dehydrogenase	YwfD, BacC
HS11932-MONOMER	HS11932	Q9NTJ5	phosphatidylinositide phosphatase SAC1	phosphoinositide phosphatase
MONOMER-15985	G-12295	Q56773		GumG
FWDBMAUTO-MONOMER	G-351		FwdB protein	FwdB
AT3G11750-MONOMER	AT3G11750		dihydroneopterin aldolase	
MONOMER-13445	G-10235	Q48467	nitrate reductase small subunit	NasC
AERGLYC3PDEHYDROG-MONOMER	EG10394	P13035	aerobic glycerol 3-phosphate dehydrogenase	GlyD, GlpD
MONOMER-428	G-229	Q9WYB1	AckA	AckA
MONOMER-18668	G-27143		sesquiterpenoid 3&beta;-hydroxylase	
MONOMER-14027	G-10715	Q00278		AflD
MONOMER-11022		Q9R4N2	<i>N</i>-methylhydantoin amidohydrolase &alpha; subunit	
MONOMER-16432	G-12701	A3DD31	cellulase Q	CelQ, endoglucanase Q
AT5G35630-MONOMER	AT5G35630	Q43127	glutamine synthetase, type II	
MONOMER-17034	G-14842	D7R619	<i>N</i>-methyl-L-glutamate synthase &alpha; subunit	MgsA
EG11932-MONOMER	EG11932	P32695	tRNA-dihydrouridine synthase A	DusA, YjbN
MONOMER-14510	G-43954	O26920	CDP-archaeol synthase	CarS
MONOMER-19511	G-44215	Q53692	phenoxazinone synthase	PhsA
MONOMER-21107	G-80623	A0A0A8RJ61		ArsJ
MONOMER-17474	G-15229	C1K2M2		
G3O-31606-MONOMER	G3O-31606	P46995	histone H3 lysine-36 <i>N</i>-trimethyltransferase	SET domain-containing
MONOMER-19053	G-43795	A0A097ZPE8		AndI
MONOMER-7				
MONOMER-19924	G-44623	Q92V75	ribose 1,5-bisphosphate phosphokinase	NitR, PhnN
HS10374-MONOMER	HS10374	P00439	phenylalanine hydroxylase subunit	
MONOMER-11940			UDP-D-glucuronate decarboxylase subunit	
G7459-MONOMER	G7459	P0A776	RNA pyrophosphohydrolase	NudH, YgdP, RppH
FBPSYN-MONOMER	G-405	P74324	Fbp	Fbp
CHAINI-MONOMER	EG10069	P04391	ornithine carbamoyltransferase ArgI	ArgI, ornithine carbamoyltransferase chain I
MONOMER-15069	G-11507	P00507	mitochondrial aspartate aminotransferase subunit	
AT2G44350-MONOMER	AT2G44350	P20115	citrate synthase (mitochondrial)	
MONOMER-12529	G-9628	P37600	thiosulfate reductase (quinone) &alpha; subunit	PhsA
MONOMER-17913			aldehyde dehydrogenase &alpha;e subunit	
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	EG11473	P0A887	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase	YigO, UbiE, bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and S-adenosylmethionine:2-DMK methyltransferase
MONOMER-15616				
MONOMER-20328	G-58117	F2K081		
YER070W-MONOMER	YER070W	P21524	ribonucleoside-diphosphate reductase, large subunit R1	
MONOMER-18322	G-17823	Q2LXU2	6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase monomer	BamA
HS00650-MONOMER	HS00650	Q15800	sterol C4-methyl monooxygenase	sterol-C4-methyl oxidase-like, C4 methyl sterol oxidase, methylsterol monooxygenase, C-4 methyl sterol oxidase
MONOMER-4		P57793	phloroglucinol reductase subunit	
EG10736-MONOMER	EG10736	P00914	deoxyribodipyrimidine photolyase	Phr, PhrB
PHOR-MONOMER	EG10733	P08400	sensor histidine kinase PhoR	NmpB, PhoR
MONOMER-13942	G-10644	Q50751	coenzyme F<sub>390</sub> synthetase	FtsA
MONOMER-20738	G-62995	A0A286SBZ6	streptovaricin polyketide synthase E	StvE, streptovaricin PKS StvE monomer
MONOMER-13065	G-9948	E8ME30	L-lactate dehydrogenase subunit	
MONOMER-10621	G-8221	P49235	&beta;-glucosidase	
HS05898-MONOMER	HS05898	P32019	type II inositol-1,4,5-trisphosphate 5-phosphatase	inositol polyphosphate-5-phosphatase, 75kDa, inositol polyphosphate-5-phosphatase, 75kD, 5PTASE
AT1G08830-MONOMER	AT1G08830	P24704	superoxide dismutase (Cu-Zn)	
AT5G13050-MONOMER	AT5G13050			
SYNPCC7942_1593-MONOMER	SYNPCC7942_1593	Q54764	aldehyde decarbonylase	
MONOMER-16042	G-12347	Q72CJ3	DsrM	
MONOMER-16954	G-14774	Q9ZGH6	dTDP-3-amino-3,4,6-trideoxy-&alpha;-D-glucopyranose <i>N,N</i>-dimethyltransferase monomer	
MONOMER-13508	G-10286			
YGR180C-MONOMER	YGR180C	P49723	ribonucleoside-diphosphate reductase, small subunit R4	
MONOMER-14418	G-11004	B3Y522		dammaradiene synthase, DCD
MONOMER-18723	G-27196	I6NXV7	atromentin synthetase	GreA
MONOMER-16486	G-12753	A3DDE2	cellulosomal cohesin-domain protein	
MONOMER-19443	G-44151	C0JRE7	zwittermicin A polyketide synthase modules 8 and 9	ZmaC
EG12240-MONOMER	EG12240	P37636	multidrug efflux pump membrane fusion protein MdtE	YhiU, MdtE
MONOMER-21156	G-80672	C3TPS2	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	MtnN
MONOMER-17406				
MONOMER-19111	G-43844	Q9L4W4	Nys PKS complex NysB component	NysB
HS11329-MONOMER	HS11329	O15067	phosphoribosylformylglycinamidine synthase	FGAM synthase, FGAMS, FGARAT, formylglycinamide ribotide amidotransferase, formylglycinamide ribotide synthetase
G1I0R-73-MONOMER	G1I0R-73	Q2G1M9	L-2,3-diaminopropanoate--citrate ligase	SbnE, 2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate synthtase
FRWC-MONOMER	EG11908	P32672	putative PTS enzyme IIC component FrwC	FrwA, YijJ, EIIC<sup>frw</sup>, Enzyme IIC<sup>frw</sup>
AT3G07020-MONOMER	AT3G07020	Q9M8Z7	3&beta;-hydroxy sterol glucosyltransferase	UGT80A2, AT3G07020, UDP-glucose:3&beta;-hydroxy sterol glucosyltransferase
MONOMER-6607	G-5087	Q9KWR0	<i>meso</i>-diaminopimelate dehydrogenase subunit	
ACS-MONOMER	EG11448	P27550	acetyl-CoA synthetase (AMP-forming)	AcsA, YfaC, Acs
MONOMER-4223			2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	PGAM
MONOMER-19856	G-44564	Q8KQF0	soluble butane monooxygenase hydroxylase component &alpha; subunit	BmoX
MONOMER-14008				
MONOMER-10962	G-8502	P83772	creatininase subunit	CrnA, Crn
MONOMER-11847	G-9207	Q8L0X8		Idh
AT5G25265-MONOMER	AT5G25265	Q8W4E6	hydroxyproline O-arabinosyltransferase	
MONOMER-17017			<small>L</small>-ascorbate peroxidase	
G7176-MONOMER	G7176	Q47013	protease ElaD	ElaD, deubiquitinase
MONOMER-14479	G-11055	O94753	versatile peroxidase VPL2	MnPL2
MONOMER-19494	G-44198	P07329	[FeMo]-nitrogenase complex dinitrogenase component &beta; subunit	NifK
BSU35840-MONOMER	BSU35840	Q7WY78	polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagT	TagT, YwtF
MONOMER-17454				
G3O-30626-MONOMER	G3O-30626	Q01159	mRNA capping enzyme &alpha; subunit	
MONOMER-9542			&beta;-ureidopropionase	
MONOMER-6802	G-5282	O50146	[aminoadipate carrier protein]-L-2-aminoadipate 6-phosphate reductase	ArgC, LysY, [LysW]-L-2-aminoadipate 6-phosphate reductase
MONOMER-19908	G-44610	Q5J1Q6	non-ribosomal peptide synthetase NocB	NocB
MONOMER-14985	G-11432	P49726		
MONOMER-11919	G-9250	O27498	dihydroxy-acid dehydratase subunit	
G7415-MONOMER	G7415	P55799	phosphoprotein phosphatase 2	YgbH, PrpB, PphB
MONOMER-12430	G-14762	Q70AC7	methylmalonyl-CoA carboxyltransferase 5S subunit	
CCMC-MONOMER	EG12057	P0ABM1	heme trafficking system membrane protein CcmC	YejU, YejT
MONOMER0-2799				
MONOMER-17839			flavonoid 3-<i>O</i>-glucosyltransferase	
MONOMER-15048	G-11488	Q5IW57	phosphinomethylmalate isomerase	Pmi
MONOMER-12501	G-9600	Q59110	sulfite reductase, dissimilatory &beta; subunit	DsrB
MONOMER-15522				lauric acid in-chain-hydroxylase, laurate monooxygenase
MONOMER-17893			flavonol 3-<i>O</i>-&beta;-<i>D</i>-galactoside-2"-<i>O</i>-glucosyltransferase	
MONOMER-20312	G-55297	V4HJ73	polybrominated diphenyl ester synthase	cytochrome P450 Bmp7
MONOMER-20255			rhamnogalacturonan I rhamnosyltransferase	RRT
MONOMER-18304	G-17805	O02623	pyruvate dehydrogenase kinase subunit	
HS00491-MONOMER	HS00491	Q9BYC5	glycoprotein 6-&alpha;-<small>L</small>-fucosyltransferase	&alpha;1-6FucT, fucosyltransferase 8, GDP-fucose--glycoprotein fucosyltransferase, GDP-L-Fuc:<i>N</i>-acetyl-&beta;-D-glucosaminide &alpha;1,6-fucosyltransferase, glycoprotein 6-&alpha;-L-fucosyltransferase, &alpha;-(1,6)-fucosyltransferase
MONOMER-18255	G-17760		phospho<i>enol</i>pyruvate carboxykinase (GTP)	
EG10680-MONOMER	EG10680	P0C0L2	osmotically inducible peroxiredoxin OsmC	OsmC, osmotically inducible protein
PGPPHOSPHAB-MONOMER	EG10705	P0A924	phosphatidylglycerophosphatase B	PgpB
HS00027-MONOMER	HS00027	P00403	cytochrome c oxidase subunit 2	cytochrome c oxidase polypeptide II
MONOMER-20721	G-58867	Q9AE02	rifamycin ring hydroxylase	
MONOMER-13048	G-9937		fructose bisphosphate aldolase subunit	Fba
EG10436-MONOMER	EG10436	P0ABC7	regulator of FtsH protease	HslY, HflA, HflK
HS05598-MONOMER	HS05598	Q13085	acetyl-CoA carboxylase 1	ACC-ALPHA
AT1G03630-MONOMER	AT1G03630	O48741	protochlorophyllide oxidoreductase C	PORC
OPPD-MONOMER	EG10677	P76027	murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppD	OppD
SYNPCC7942_1231-MONOMER	SYNPCC7942_1231	Q31NV8	cytochrome f	PetA
MONOMER-16022	G-12330	Q9HWG9	5-methylphenazine-1-carboxylate 1-monooxygenase	PhzS
MONOMER-20664	G-58810	C3VA26	isoeugenol monooxygenase	Iem
MONOMER-13483	G-10269	P0DJQ7		Bls
MONOMER-18705	G-27179	Q9KZF5	biflaviolin synthase	
MONOMER-12997				
MONOMER-16470	G-12737	A3DDM7	glycosyl hydrolase family 5 domain protein	
EG12163-MONOMER	EG12163	P36929	16S rRNA m<sup>5</sup>C967 methyltransferase	YhdB, RsmB, Fmv, Fmu, RrmB, Sun
